task_id,occupation,task_text,ability_name,weight,uncertain
18986,Computer Network Architects,Use network computer-aided design (CAD) software packages to optimize network designs.,Problem Sensitivity,2,0
18986,Computer Network Architects,Use network computer-aided design (CAD) software packages to optimize network designs.,Near Vision,1,0
18987,Computer Network Architects,"Visit vendors, attend conferences or training sessions, or study technical journals to keep up with changes in technology.",Written Comprehension,3,0
18987,Computer Network Architects,"Visit vendors, attend conferences or training sessions, or study technical journals to keep up with changes in technology.",Oral Comprehension,2,0
18987,Computer Network Architects,"Visit vendors, attend conferences or training sessions, or study technical journals to keep up with changes in technology.",Inductive Reasoning,2,0
18987,Computer Network Architects,"Visit vendors, attend conferences or training sessions, or study technical journals to keep up with changes in technology.",Memorization,2,0
18987,Computer Network Architects,"Visit vendors, attend conferences or training sessions, or study technical journals to keep up with changes in technology.",Speech Recognition,1,0
18970,Computer Network Architects,Develop or maintain project reporting systems.,Deductive Reasoning,3,0
18970,Computer Network Architects,Develop or maintain project reporting systems.,Information Ordering,2,0
18970,Computer Network Architects,Develop or maintain project reporting systems.,Written Expression,2,0
18970,Computer Network Architects,Develop or maintain project reporting systems.,Mathematical Reasoning,1,0
18970,Computer Network Architects,Develop or maintain project reporting systems.,Problem Sensitivity,1,0
18978,Computer Network Architects,"Maintain or coordinate the maintenance of network peripherals, such as printers.",Deductive Reasoning,2,0
18978,Computer Network Architects,"Maintain or coordinate the maintenance of network peripherals, such as printers.",Problem Sensitivity,2,0
18978,Computer Network Architects,"Maintain or coordinate the maintenance of network peripherals, such as printers.",Information Ordering,2,0
18978,Computer Network Architects,"Maintain or coordinate the maintenance of network peripherals, such as printers.",Oral Expression,1,0
18978,Computer Network Architects,"Maintain or coordinate the maintenance of network peripherals, such as printers.",Written Expression,1,0
16080,Telecommunications Engineering Specialists,"Consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases.",Oral Comprehension,3,0
16080,Telecommunications Engineering Specialists,"Consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases.",Oral Expression,3,0
16080,Telecommunications Engineering Specialists,"Consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases.",Deductive Reasoning,2,0
16080,Telecommunications Engineering Specialists,"Consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases.",Inductive Reasoning,2,0
16080,Telecommunications Engineering Specialists,"Consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases.",Problem Sensitivity,2,0
16080,Telecommunications Engineering Specialists,"Consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases.",Speech Recognition,2,0
16080,Telecommunications Engineering Specialists,"Consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases.",Speech Clarity,1,0
16073,Telecommunications Engineering Specialists,"Implement system renovation projects in collaboration with technical staff, engineering consultants, installers, and vendors.",Deductive Reasoning,3,0
16073,Telecommunications Engineering Specialists,"Implement system renovation projects in collaboration with technical staff, engineering consultants, installers, and vendors.",Information Ordering,2,0
16073,Telecommunications Engineering Specialists,"Implement system renovation projects in collaboration with technical staff, engineering consultants, installers, and vendors.",Oral Expression,2,0
16073,Telecommunications Engineering Specialists,"Implement system renovation projects in collaboration with technical staff, engineering consultants, installers, and vendors.",Oral Comprehension,2,0
16073,Telecommunications Engineering Specialists,"Implement system renovation projects in collaboration with technical staff, engineering consultants, installers, and vendors.",Problem Sensitivity,2,0
16073,Telecommunications Engineering Specialists,"Implement system renovation projects in collaboration with technical staff, engineering consultants, installers, and vendors.",Inductive Reasoning,1,0
16058,Telecommunications Engineering Specialists,"Keep abreast of changes in industry practices and emerging telecommunications technology by reviewing current literature, talking with colleagues, participating in educational programs, attending meetings or workshops, or participating in professional organizations or conferences.",Written Comprehension,3,0
16058,Telecommunications Engineering Specialists,"Keep abreast of changes in industry practices and emerging telecommunications technology by reviewing current literature, talking with colleagues, participating in educational programs, attending meetings or workshops, or participating in professional organizations or conferences.",Oral Comprehension,2,0
16058,Telecommunications Engineering Specialists,"Keep abreast of changes in industry practices and emerging telecommunications technology by reviewing current literature, talking with colleagues, participating in educational programs, attending meetings or workshops, or participating in professional organizations or conferences.",Inductive Reasoning,2,0
16058,Telecommunications Engineering Specialists,"Keep abreast of changes in industry practices and emerging telecommunications technology by reviewing current literature, talking with colleagues, participating in educational programs, attending meetings or workshops, or participating in professional organizations or conferences.",Memorization,2,0
16058,Telecommunications Engineering Specialists,"Keep abreast of changes in industry practices and emerging telecommunications technology by reviewing current literature, talking with colleagues, participating in educational programs, attending meetings or workshops, or participating in professional organizations or conferences.",Speech Recognition,1,0
16058,Telecommunications Engineering Specialists,"Keep abreast of changes in industry practices and emerging telecommunications technology by reviewing current literature, talking with colleagues, participating in educational programs, attending meetings or workshops, or participating in professional organizations or conferences.",Fluency of Ideas,1,0
16063,Telecommunications Engineering Specialists,"Review and evaluate requests from engineers, managers, and technicians for system modifications.",Written Comprehension,3,0
16063,Telecommunications Engineering Specialists,"Review and evaluate requests from engineers, managers, and technicians for system modifications.",Deductive Reasoning,3,0
16063,Telecommunications Engineering Specialists,"Review and evaluate requests from engineers, managers, and technicians for system modifications.",Inductive Reasoning,2,0
16063,Telecommunications Engineering Specialists,"Review and evaluate requests from engineers, managers, and technicians for system modifications.",Problem Sensitivity,2,0
16063,Telecommunications Engineering Specialists,"Review and evaluate requests from engineers, managers, and technicians for system modifications.",Oral Comprehension,1,0
16082,Telecommunications Engineering Specialists,Assess existing facilities' needs for new or modified telecommunications systems.,Deductive Reasoning,3,0
16082,Telecommunications Engineering Specialists,Assess existing facilities' needs for new or modified telecommunications systems.,Inductive Reasoning,3,0
16082,Telecommunications Engineering Specialists,Assess existing facilities' needs for new or modified telecommunications systems.,Problem Sensitivity,2,0
16082,Telecommunications Engineering Specialists,Assess existing facilities' needs for new or modified telecommunications systems.,Visualization,2,0
16082,Telecommunications Engineering Specialists,Assess existing facilities' needs for new or modified telecommunications systems.,Mathematical Reasoning,1,0
16082,Telecommunications Engineering Specialists,Assess existing facilities' needs for new or modified telecommunications systems.,Written Comprehension,1,0
16060,Telecommunications Engineering Specialists,"Develop, maintain, or implement telecommunications disaster recovery plans to ensure business continuity.",Deductive Reasoning,3,0
16060,Telecommunications Engineering Specialists,"Develop, maintain, or implement telecommunications disaster recovery plans to ensure business continuity.",Inductive Reasoning,2,0
16060,Telecommunications Engineering Specialists,"Develop, maintain, or implement telecommunications disaster recovery plans to ensure business continuity.",Information Ordering,2,0
16060,Telecommunications Engineering Specialists,"Develop, maintain, or implement telecommunications disaster recovery plans to ensure business continuity.",Problem Sensitivity,2,0
16060,Telecommunications Engineering Specialists,"Develop, maintain, or implement telecommunications disaster recovery plans to ensure business continuity.",Written Expression,2,0
16060,Telecommunications Engineering Specialists,"Develop, maintain, or implement telecommunications disaster recovery plans to ensure business continuity.",Mathematical Reasoning,1,0
16081,Telecommunications Engineering Specialists,"Communicate with telecommunications vendors to obtain pricing and technical specifications for available hardware, software, or services.",Oral Comprehension,3,0
16081,Telecommunications Engineering Specialists,"Communicate with telecommunications vendors to obtain pricing and technical specifications for available hardware, software, or services.",Oral Expression,2,0
16081,Telecommunications Engineering Specialists,"Communicate with telecommunications vendors to obtain pricing and technical specifications for available hardware, software, or services.",Written Comprehension,2,0
16081,Telecommunications Engineering Specialists,"Communicate with telecommunications vendors to obtain pricing and technical specifications for available hardware, software, or services.",Number Facility,2,0
16081,Telecommunications Engineering Specialists,"Communicate with telecommunications vendors to obtain pricing and technical specifications for available hardware, software, or services.",Speech Recognition,2,0
16081,Telecommunications Engineering Specialists,"Communicate with telecommunications vendors to obtain pricing and technical specifications for available hardware, software, or services.",Speech Clarity,1,0
16072,Telecommunications Engineering Specialists,"Inspect sites to determine physical configuration, such as device locations and conduit pathways.",Visualization,3,0
16072,Telecommunications Engineering Specialists,"Inspect sites to determine physical configuration, such as device locations and conduit pathways.",Spatial Orientation,3,0
16072,Telecommunications Engineering Specialists,"Inspect sites to determine physical configuration, such as device locations and conduit pathways.",Deductive Reasoning,2,0
16072,Telecommunications Engineering Specialists,"Inspect sites to determine physical configuration, such as device locations and conduit pathways.",Near Vision,2,0
16072,Telecommunications Engineering Specialists,"Inspect sites to determine physical configuration, such as device locations and conduit pathways.",Problem Sensitivity,2,0
16072,Telecommunications Engineering Specialists,"Inspect sites to determine physical configuration, such as device locations and conduit pathways.",Far Vision,1,0
16078,Telecommunications Engineering Specialists,Document procedures for hardware and software installation and use.,Written Expression,3,0
16078,Telecommunications Engineering Specialists,Document procedures for hardware and software installation and use.,Information Ordering,3,0
16078,Telecommunications Engineering Specialists,Document procedures for hardware and software installation and use.,Written Comprehension,2,0
16078,Telecommunications Engineering Specialists,Document procedures for hardware and software installation and use.,Deductive Reasoning,2,0
16078,Telecommunications Engineering Specialists,Document procedures for hardware and software installation and use.,Fluency of Ideas,1,0
16083,Telecommunications Engineering Specialists,"Install, or coordinate installation of, new or modified hardware, software, or programming modules of telecommunications systems.",Deductive Reasoning,3,0
16083,Telecommunications Engineering Specialists,"Install, or coordinate installation of, new or modified hardware, software, or programming modules of telecommunications systems.",Information Ordering,2,0
16083,Telecommunications Engineering Specialists,"Install, or coordinate installation of, new or modified hardware, software, or programming modules of telecommunications systems.",Problem Sensitivity,2,0
16083,Telecommunications Engineering Specialists,"Install, or coordinate installation of, new or modified hardware, software, or programming modules of telecommunications systems.",Oral Expression,1,0
16083,Telecommunications Engineering Specialists,"Install, or coordinate installation of, new or modified hardware, software, or programming modules of telecommunications systems.",Inductive Reasoning,1,0
20366,Telecommunications Engineering Specialists,"Instruct in use of voice, video, and data communications systems.",Oral Expression,3,0
20366,Telecommunications Engineering Specialists,"Instruct in use of voice, video, and data communications systems.",Oral Comprehension,2,0
20366,Telecommunications Engineering Specialists,"Instruct in use of voice, video, and data communications systems.",Information Ordering,2,0
20366,Telecommunications Engineering Specialists,"Instruct in use of voice, video, and data communications systems.",Speech Clarity,2,0
20366,Telecommunications Engineering Specialists,"Instruct in use of voice, video, and data communications systems.",Deductive Reasoning,1,0
20366,Telecommunications Engineering Specialists,"Instruct in use of voice, video, and data communications systems.",Written Expression,1,0
16074,Telecommunications Engineering Specialists,"Implement or perform preventive maintenance, backup, or recovery procedures.",Deductive Reasoning,3,0
16074,Telecommunications Engineering Specialists,"Implement or perform preventive maintenance, backup, or recovery procedures.",Information Ordering,2,0
16074,Telecommunications Engineering Specialists,"Implement or perform preventive maintenance, backup, or recovery procedures.",Problem Sensitivity,2,0
16074,Telecommunications Engineering Specialists,"Implement or perform preventive maintenance, backup, or recovery procedures.",Inductive Reasoning,2,0
16074,Telecommunications Engineering Specialists,"Implement or perform preventive maintenance, backup, or recovery procedures.",Written Comprehension,1,0
16066,Telecommunications Engineering Specialists,"Prepare purchase requisitions for computer hardware and software, networking and telecommunications equipment, test equipment, cabling, or tools.",Written Expression,3,0
16066,Telecommunications Engineering Specialists,"Prepare purchase requisitions for computer hardware and software, networking and telecommunications equipment, test equipment, cabling, or tools.",Information Ordering,2,0
16066,Telecommunications Engineering Specialists,"Prepare purchase requisitions for computer hardware and software, networking and telecommunications equipment, test equipment, cabling, or tools.",Number Facility,2,0
16066,Telecommunications Engineering Specialists,"Prepare purchase requisitions for computer hardware and software, networking and telecommunications equipment, test equipment, cabling, or tools.",Written Comprehension,2,0
16066,Telecommunications Engineering Specialists,"Prepare purchase requisitions for computer hardware and software, networking and telecommunications equipment, test equipment, cabling, or tools.",Deductive Reasoning,1,0
16077,Telecommunications Engineering Specialists,Document technical specifications and operating standards for telecommunications equipment.,Written Expression,3,0
16077,Telecommunications Engineering Specialists,Document technical specifications and operating standards for telecommunications equipment.,Written Comprehension,2,0
16077,Telecommunications Engineering Specialists,Document technical specifications and operating standards for telecommunications equipment.,Information Ordering,2,0
16077,Telecommunications Engineering Specialists,Document technical specifications and operating standards for telecommunications equipment.,Deductive Reasoning,2,0
16077,Telecommunications Engineering Specialists,Document technical specifications and operating standards for telecommunications equipment.,Fluency of Ideas,1,0
16064,Telecommunications Engineering Specialists,Provide user support by diagnosing network and device problems and implementing technical or procedural solutions.,Deductive Reasoning,3,0
16064,Telecommunications Engineering Specialists,Provide user support by diagnosing network and device problems and implementing technical or procedural solutions.,Inductive Reasoning,3,0
16064,Telecommunications Engineering Specialists,Provide user support by diagnosing network and device problems and implementing technical or procedural solutions.,Problem Sensitivity,3,0
16064,Telecommunications Engineering Specialists,Provide user support by diagnosing network and device problems and implementing technical or procedural solutions.,Oral Expression,2,0
16064,Telecommunications Engineering Specialists,Provide user support by diagnosing network and device problems and implementing technical or procedural solutions.,Oral Comprehension,2,0
16064,Telecommunications Engineering Specialists,Provide user support by diagnosing network and device problems and implementing technical or procedural solutions.,Information Ordering,1,0
16076,Telecommunications Engineering Specialists,"Document user support activity, such as system problems, corrective actions, resolution status, and completed equipment installations.",Written Expression,3,0
16076,Telecommunications Engineering Specialists,"Document user support activity, such as system problems, corrective actions, resolution status, and completed equipment installations.",Information Ordering,2,0
16076,Telecommunications Engineering Specialists,"Document user support activity, such as system problems, corrective actions, resolution status, and completed equipment installations.",Written Comprehension,1,0
16076,Telecommunications Engineering Specialists,"Document user support activity, such as system problems, corrective actions, resolution status, and completed equipment installations.",Deductive Reasoning,1,0
16076,Telecommunications Engineering Specialists,"Document user support activity, such as system problems, corrective actions, resolution status, and completed equipment installations.",Memorization,1,0
16059,Telecommunications Engineering Specialists,Estimate costs for system or component implementation and operation.,Mathematical Reasoning,3,0
16059,Telecommunications Engineering Specialists,Estimate costs for system or component implementation and operation.,Number Facility,3,0
16059,Telecommunications Engineering Specialists,Estimate costs for system or component implementation and operation.,Deductive Reasoning,2,0
16059,Telecommunications Engineering Specialists,Estimate costs for system or component implementation and operation.,Inductive Reasoning,2,0
16059,Telecommunications Engineering Specialists,Estimate costs for system or component implementation and operation.,Written Expression,1,0
20365,Telecommunications Engineering Specialists,"Order or maintain inventory of telecommunications equipment for customer premises equipment (CPE), facilities, access networks, or backbone networks.",Information Ordering,3,0
20365,Telecommunications Engineering Specialists,"Order or maintain inventory of telecommunications equipment for customer premises equipment (CPE), facilities, access networks, or backbone networks.",Number Facility,2,0
20365,Telecommunications Engineering Specialists,"Order or maintain inventory of telecommunications equipment for customer premises equipment (CPE), facilities, access networks, or backbone networks.",Written Expression,2,0
20365,Telecommunications Engineering Specialists,"Order or maintain inventory of telecommunications equipment for customer premises equipment (CPE), facilities, access networks, or backbone networks.",Deductive Reasoning,2,0
20365,Telecommunications Engineering Specialists,"Order or maintain inventory of telecommunications equipment for customer premises equipment (CPE), facilities, access networks, or backbone networks.",Mathematical Reasoning,1,0
16079,Telecommunications Engineering Specialists,"Work with personnel and facilities management staff to install, remove, or relocate user connectivity equipment and devices.",Oral Expression,2,0
16079,Telecommunications Engineering Specialists,"Work with personnel and facilities management staff to install, remove, or relocate user connectivity equipment and devices.",Oral Comprehension,2,0
16079,Telecommunications Engineering Specialists,"Work with personnel and facilities management staff to install, remove, or relocate user connectivity equipment and devices.",Deductive Reasoning,2,0
16079,Telecommunications Engineering Specialists,"Work with personnel and facilities management staff to install, remove, or relocate user connectivity equipment and devices.",Information Ordering,2,0
16079,Telecommunications Engineering Specialists,"Work with personnel and facilities management staff to install, remove, or relocate user connectivity equipment and devices.",Problem Sensitivity,1,0
16067,Telecommunications Engineering Specialists,"Use computer-aided design (CAD) software to prepare or evaluate network diagrams, floor plans, or site configurations for existing facilities, renovations, or new systems.",Visualization,3,0
16067,Telecommunications Engineering Specialists,"Use computer-aided design (CAD) software to prepare or evaluate network diagrams, floor plans, or site configurations for existing facilities, renovations, or new systems.",Spatial Orientation,3,0
16067,Telecommunications Engineering Specialists,"Use computer-aided design (CAD) software to prepare or evaluate network diagrams, floor plans, or site configurations for existing facilities, renovations, or new systems.",Deductive Reasoning,2,0
16067,Telecommunications Engineering Specialists,"Use computer-aided design (CAD) software to prepare or evaluate network diagrams, floor plans, or site configurations for existing facilities, renovations, or new systems.",Inductive Reasoning,2,0
16067,Telecommunications Engineering Specialists,"Use computer-aided design (CAD) software to prepare or evaluate network diagrams, floor plans, or site configurations for existing facilities, renovations, or new systems.",Near Vision,2,0
16067,Telecommunications Engineering Specialists,"Use computer-aided design (CAD) software to prepare or evaluate network diagrams, floor plans, or site configurations for existing facilities, renovations, or new systems.",Problem Sensitivity,1,0
16065,Telecommunications Engineering Specialists,Prepare system activity and performance reports.,Written Expression,3,0
16065,Telecommunications Engineering Specialists,Prepare system activity and performance reports.,Information Ordering,2,0
16065,Telecommunications Engineering Specialists,Prepare system activity and performance reports.,Mathematical Reasoning,2,0
16065,Telecommunications Engineering Specialists,Prepare system activity and performance reports.,Number Facility,2,0
16065,Telecommunications Engineering Specialists,Prepare system activity and performance reports.,Deductive Reasoning,2,0
16065,Telecommunications Engineering Specialists,Prepare system activity and performance reports.,Written Comprehension,1,0
16075,Telecommunications Engineering Specialists,"Implement controls to provide security for operating systems, software, and data.",Deductive Reasoning,3,0
16075,Telecommunications Engineering Specialists,"Implement controls to provide security for operating systems, software, and data.",Inductive Reasoning,2,0
16075,Telecommunications Engineering Specialists,"Implement controls to provide security for operating systems, software, and data.",Problem Sensitivity,2,0
16075,Telecommunications Engineering Specialists,"Implement controls to provide security for operating systems, software, and data.",Information Ordering,2,0
16075,Telecommunications Engineering Specialists,"Implement controls to provide security for operating systems, software, and data.",Written Comprehension,1,0
16070,Telecommunications Engineering Specialists,Manage user access to systems and equipment through account management and password administration.,Deductive Reasoning,2,0
16070,Telecommunications Engineering Specialists,Manage user access to systems and equipment through account management and password administration.,Information Ordering,2,0
16070,Telecommunications Engineering Specialists,Manage user access to systems and equipment through account management and password administration.,Problem Sensitivity,2,0
16070,Telecommunications Engineering Specialists,Manage user access to systems and equipment through account management and password administration.,Written Expression,1,0
16070,Telecommunications Engineering Specialists,Manage user access to systems and equipment through account management and password administration.,Selective Attention,1,0
16061,Telecommunications Engineering Specialists,"Test and evaluate hardware and software to determine efficiency, reliability, or compatibility with existing systems.",Deductive Reasoning,3,0
16061,Telecommunications Engineering Specialists,"Test and evaluate hardware and software to determine efficiency, reliability, or compatibility with existing systems.",Inductive Reasoning,3,0
16061,Telecommunications Engineering Specialists,"Test and evaluate hardware and software to determine efficiency, reliability, or compatibility with existing systems.",Problem Sensitivity,3,0
16061,Telecommunications Engineering Specialists,"Test and evaluate hardware and software to determine efficiency, reliability, or compatibility with existing systems.",Written Comprehension,2,0
16061,Telecommunications Engineering Specialists,"Test and evaluate hardware and software to determine efficiency, reliability, or compatibility with existing systems.",Mathematical Reasoning,1,0
16061,Telecommunications Engineering Specialists,"Test and evaluate hardware and software to determine efficiency, reliability, or compatibility with existing systems.",Written Expression,1,0
16069,Telecommunications Engineering Specialists,"Monitor and analyze system performance, such as network traffic, security, and capacity.",Inductive Reasoning,3,0
16069,Telecommunications Engineering Specialists,"Monitor and analyze system performance, such as network traffic, security, and capacity.",Deductive Reasoning,2,0
16069,Telecommunications Engineering Specialists,"Monitor and analyze system performance, such as network traffic, security, and capacity.",Mathematical Reasoning,2,0
16069,Telecommunications Engineering Specialists,"Monitor and analyze system performance, such as network traffic, security, and capacity.",Number Facility,2,0
16069,Telecommunications Engineering Specialists,"Monitor and analyze system performance, such as network traffic, security, and capacity.",Problem Sensitivity,2,0
16069,Telecommunications Engineering Specialists,"Monitor and analyze system performance, such as network traffic, security, and capacity.",Selective Attention,2,0
16062,Telecommunications Engineering Specialists,Supervise maintenance of telecommunications equipment.,Oral Expression,2,0
16062,Telecommunications Engineering Specialists,Supervise maintenance of telecommunications equipment.,Deductive Reasoning,2,0
16062,Telecommunications Engineering Specialists,Supervise maintenance of telecommunications equipment.,Problem Sensitivity,2,0
16062,Telecommunications Engineering Specialists,Supervise maintenance of telecommunications equipment.,Information Ordering,2,0
16062,Telecommunications Engineering Specialists,Supervise maintenance of telecommunications equipment.,Oral Comprehension,1,0
1299,Database Administrators,Modify existing databases and database management systems or direct programmers and analysts to make changes.,Deductive Reasoning,3,0
1299,Database Administrators,Modify existing databases and database management systems or direct programmers and analysts to make changes.,Written Comprehension,2,0
1299,Database Administrators,Modify existing databases and database management systems or direct programmers and analysts to make changes.,Oral Expression,2,0
1299,Database Administrators,Modify existing databases and database management systems or direct programmers and analysts to make changes.,Inductive Reasoning,2,0
1299,Database Administrators,Modify existing databases and database management systems or direct programmers and analysts to make changes.,Problem Sensitivity,2,0
1299,Database Administrators,Modify existing databases and database management systems or direct programmers and analysts to make changes.,Information Ordering,1,0
1301,Database Administrators,"Plan, coordinate, and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",Deductive Reasoning,3,0
1301,Database Administrators,"Plan, coordinate, and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",Inductive Reasoning,2,0
1301,Database Administrators,"Plan, coordinate, and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",Information Ordering,2,0
1301,Database Administrators,"Plan, coordinate, and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",Problem Sensitivity,2,0
1301,Database Administrators,"Plan, coordinate, and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",Written Expression,2,0
1301,Database Administrators,"Plan, coordinate, and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",Oral Expression,1,0
21649,Database Administrators,Plan and install upgrades of database management system software to enhance database performance.,Deductive Reasoning,3,0
21649,Database Administrators,Plan and install upgrades of database management system software to enhance database performance.,Information Ordering,2,0
21649,Database Administrators,Plan and install upgrades of database management system software to enhance database performance.,Problem Sensitivity,2,0
21649,Database Administrators,Plan and install upgrades of database management system software to enhance database performance.,Inductive Reasoning,2,0
21649,Database Administrators,Plan and install upgrades of database management system software to enhance database performance.,Written Comprehension,1,0
1305,Database Administrators,Specify users and user access levels for each segment of database.,Deductive Reasoning,3,0
1305,Database Administrators,Specify users and user access levels for each segment of database.,Information Ordering,2,0
1305,Database Administrators,Specify users and user access levels for each segment of database.,Inductive Reasoning,1,0
1305,Database Administrators,Specify users and user access levels for each segment of database.,Written Comprehension,1,0
1305,Database Administrators,Specify users and user access levels for each segment of database.,Problem Sensitivity,1,0
21651,Database Administrators,Test changes to database applications or systems.,Deductive Reasoning,3,0
21651,Database Administrators,Test changes to database applications or systems.,Problem Sensitivity,3,0
21651,Database Administrators,Test changes to database applications or systems.,Inductive Reasoning,2,0
21651,Database Administrators,Test changes to database applications or systems.,Written Comprehension,1,0
21651,Database Administrators,Test changes to database applications or systems.,Selective Attention,1,0
1300,Database Administrators,"Test programs or databases, correct errors, and make necessary modifications.",Deductive Reasoning,3,0
1300,Database Administrators,"Test programs or databases, correct errors, and make necessary modifications.",Inductive Reasoning,3,0
1300,Database Administrators,"Test programs or databases, correct errors, and make necessary modifications.",Problem Sensitivity,3,0
1300,Database Administrators,"Test programs or databases, correct errors, and make necessary modifications.",Written Comprehension,2,0
1300,Database Administrators,"Test programs or databases, correct errors, and make necessary modifications.",Written Expression,1,0
1303,Database Administrators,Train users and answer questions.,Oral Expression,3,0
1303,Database Administrators,Train users and answer questions.,Oral Comprehension,2,0
1303,Database Administrators,Train users and answer questions.,Speech Clarity,2,0
1303,Database Administrators,Train users and answer questions.,Information Ordering,2,0
1303,Database Administrators,Train users and answer questions.,Deductive Reasoning,1,0
1303,Database Administrators,Train users and answer questions.,Speech Recognition,1,0
